,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,PoolArea,PoolQC,MiscVal,MoSold,SaleType,SaleCondition,SalePrice,HouseAge,HouseModelAge,TotalSF,TotalArea,TotalBath,TotalPorchSF
0,1,60,RL,65.0,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,150,GasA,Ex,Y,SBrkr,0,3,1,Gd,8,Typ,0,NA,Attchd,RFn,2,548,TA,TA,Y,0,0,NA,0,2,WD,Normal,208500,5,5,2416,2566,3.5,61
1,2,20,RL,80.0,9600,Pave,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,284,GasA,Ex,Y,SBrkr,0,3,1,TA,6,Typ,1,TA,Attchd,RFn,2,460,TA,TA,Y,298,0,NA,0,5,WD,Normal,181500,31,31,2240,2524,2.5,0
2,3,60,RL,68.0,11250,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,434,GasA,Ex,Y,SBrkr,0,3,1,Gd,6,Typ,1,TA,Attchd,RFn,2,608,TA,TA,Y,0,0,NA,0,9,WD,Normal,223500,7,6,2272,2706,3.5,42
3,4,70,RL,60.0,9550,Pave,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,Unf,540,GasA,Gd,Y,SBrkr,0,3,1,Gd,7,Typ,1,Gd,Detchd,Unf,3,642,TA,TA,Y,0,0,NA,0,2,WD,Abnorml,140000,91,36,1933,2473,2.0,307
4,5,60,RL,84.0,14260,Pave,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,490,GasA,Ex,Y,SBrkr,0,4,1,Gd,9,Typ,1,TA,Attchd,RFn,3,836,TA,TA,Y,192,0,NA,0,12,WD,Normal,250000,8,8,2853,3343,3.5,84
5,6,50,RL,85.0,14115,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,Unf,64,GasA,Ex,Y,SBrkr,0,1,1,TA,5,Typ,0,NA,Attchd,Unf,2,480,TA,TA,Y,40,0,NA,700,10,WD,Normal,143000,16,14,2094,2158,2.5,350
6,7,20,RL,75.0,10084,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,317,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,2,636,TA,TA,Y,255,0,NA,0,8,WD,Normal,307000,3,2,3063,3380,3.0,57
7,8,60,RL,0.0,10382,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,BLQ,216,GasA,Ex,Y,SBrkr,0,3,1,TA,7,Typ,2,TA,Attchd,RFn,2,484,TA,TA,Y,235,0,NA,350,11,WD,Normal,200000,36,36,2981,3197,3.5,432
8,9,50,RM,51.0,6120,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,952,GasA,Gd,Y,FuseF,0,2,2,TA,8,Min1,2,TA,Detchd,Unf,2,468,Fa,TA,Y,90,0,NA,0,4,WD,Abnorml,129900,77,58,1774,2726,2.0,205
9,10,190,RL,50.0,7420,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,Unf,140,GasA,Ex,Y,SBrkr,0,2,2,TA,5,Typ,2,TA,Attchd,RFn,1,205,Gd,TA,Y,0,0,NA,0,1,WD,Normal,118000,69,58,1928,2068,2.0,4
10,11,20,RL,70.0,11200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,134,GasA,Ex,Y,SBrkr,0,3,1,TA,5,Typ,0,NA,Detchd,Unf,1,384,TA,TA,Y,0,0,NA,0,2,WD,Normal,129500,43,43,1946,2080,2.0,0
11,12,60,RL,85.0,11924,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,177,GasA,Ex,Y,SBrkr,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,Fin,3,736,TA,TA,Y,147,0,NA,0,7,New,Partial,345000,1,0,3322,3499,4.0,21
12,13,20,RL,0.0,12968,Pave,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,175,GasA,TA,Y,SBrkr,0,2,1,TA,4,Typ,0,NA,Detchd,Unf,1,352,TA,TA,Y,140,0,NA,0,9,WD,Normal,144000,46,46,1649,1824,2.0,176
13,14,20,RL,91.0,10652,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,1494,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,840,TA,TA,Y,160,0,NA,0,8,New,Partial,279500,1,0,1494,2988,2.0,33
14,15,20,RL,0.0,10920,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,520,GasA,TA,Y,SBrkr,0,2,1,TA,5,Typ,1,Fa,Attchd,RFn,1,352,TA,TA,Y,0,0,NA,0,5,WD,Normal,157000,48,48,1986,2506,2.5,389
15,16,45,RM,51.0,6120,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,832,GasA,Ex,Y,FuseA,0,2,1,TA,5,Typ,0,NA,Detchd,Unf,2,576,TA,TA,Y,48,0,NA,0,7,WD,Normal,132000,78,6,854,1686,1.0,112
16,17,20,RL,0.0,11241,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,426,GasA,Ex,Y,SBrkr,0,2,1,TA,5,Typ,1,TA,Attchd,Fin,2,480,TA,TA,Y,0,0,NA,700,3,WD,Normal,149000,40,40,1582,2008,2.0,0
17,18,90,RL,72.0,10791,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,NA,NA,NA,NA,NA,0,GasA,TA,Y,SBrkr,0,2,2,TA,6,Typ,0,NA,CarPort,Unf,2,516,TA,TA,Y,0,0,NA,500,10,WD,Normal,90000,39,39,1296,1296,2.0,0
18,19,20,RL,66.0,13695,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,Unf,468,GasA,Ex,Y,SBrkr,0,3,1,Gd,6,Typ,0,NA,Detchd,Unf,2,576,TA,TA,Y,0,0,NA,0,6,WD,Normal,159000,4,4,1760,2228,2.5,102
19,20,20,RL,70.0,7560,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,Unf,525,GasA,TA,Y,SBrkr,0,3,1,TA,6,Min1,0,NA,Attchd,Unf,1,294,TA,TA,Y,0,0,NA,0,5,COD,Abnorml,139000,51,44,1843,2368,1.0,0
20,21,60,RL,101.0,14215,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1158,GasA,Ex,Y,SBrkr,0,4,1,Gd,9,Typ,1,Gd,BuiltIn,RFn,3,853,TA,TA,Y,240,0,NA,0,11,New,Partial,325300,1,0,2376,3534,3.5,154
21,22,45,RM,57.0,7449,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,637,GasA,Ex,Y,FuseF,0,3,1,Gd,6,Typ,1,Gd,Attchd,Unf,1,280,TA,TA,N,0,0,NA,0,6,WD,Normal,139400,77,57,1108,1745,1.0,205
22,23,20,RL,75.0,9742,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1777,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,2,534,TA,TA,Y,171,0,NA,0,9,WD,Normal,230000,6,6,1795,3572,2.0,159
23,24,120,RM,44.0,4224,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,200,GasA,TA,Y,SBrkr,0,3,1,TA,6,Typ,1,TA,Attchd,Unf,2,572,TA,TA,Y,100,0,NA,0,6,WD,Normal,129900,31,31,1900,2100,2.0,110
24,25,20,RL,0.0,8246,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,ALQ,204,GasA,Ex,Y,SBrkr,0,3,1,Gd,6,Typ,1,TA,Attchd,Unf,1,270,TA,TA,Y,406,0,NA,0,5,WD,Normal,154000,42,9,1916,2120,2.0,90
25,26,20,RL,110.0,14230,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1566,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,890,TA,TA,Y,0,0,NA,0,7,WD,Normal,256300,2,2,1600,3166,2.0,56
26,27,20,RL,60.0,7200,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,Rec,180,GasA,TA,Y,SBrkr,0,3,1,Gd,5,Typ,0,NA,Detchd,Unf,2,576,TA,TA,Y,222,0,NA,0,5,WD,Normal,134800,59,10,1620,1800,1.5,32
27,28,20,RL,98.0,11478,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,486,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,772,TA,TA,Y,0,0,NA,0,5,WD,Normal,306000,3,2,2922,3408,3.0,50
28,29,20,RL,47.0,16321,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,Unf,207,GasA,TA,Y,SBrkr,0,2,1,TA,6,Typ,2,Gd,Attchd,RFn,1,319,TA,TA,Y,288,0,NA,0,12,WD,Normal,207500,49,9,2877,3084,2.0,258
29,30,30,RM,60.0,6324,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,520,GasA,Fa,N,SBrkr,0,1,1,Fa,4,Typ,0,NA,Detchd,Unf,1,240,Fa,TA,Y,49,0,NA,0,5,WD,Normal,68500,81,58,520,1040,1.0,87
30,31,70,C (all),50.0,8500,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,Unf,649,GasA,TA,N,SBrkr,0,3,1,TA,6,Typ,0,NA,Detchd,Unf,1,250,TA,Fa,N,0,0,NA,0,7,WD,Normal,40000,88,58,1317,1966,1.0,226
31,32,20,RL,0.0,8544,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,1228,GasA,Gd,Y,SBrkr,0,3,1,Gd,6,Typ,0,NA,Attchd,Unf,1,271,TA,TA,Y,0,0,NA,0,6,WD,Normal,149350,42,2,1228,2456,1.5,65
